tr,cr,fr,z
0.866,0.166,-0.794,0.035
0.866,0.160,-0.788,0.035
0.866,0.153,-0.783,0.034
0.866,0.147,-0.777,0.034
0.866,0.140,-0.772,0.033
0.866,0.134,-0.767,0.032
0.866,0.128,-0.761,0.032
0.866,0.122,-0.757,0.031
0.865,0.117,-0.753,0.031
0.865,0.112,-0.750,0.030
0.864,0.107,-0.748,0.030
0.864,0.103,-0.746,0.029
0.863,0.099,-0.744,0.029
0.863,0.095,-0.743,0.028
0.862,0.092,-0.742,0.028
0.861,0.088,-0.741,0.027
0.860,0.084,-0.740,0.027
0.860,0.080,-0.738,0.026
0.859,0.075,-0.735,0.026
0.859,0.070,-0.732,0.025
0.858,0.065,-0.729,0.025
0.858,0.060,-0.725,0.024
0.858,0.054,-0.721,0.024
0.857,0.049,-0.717,0.023
0.857,0.043,-0.712,0.023
0.857,0.036,-0.707,0.022
0.857,0.030,-0.701,0.021
0.856,0.024,-0.696,0.021
0.856,0.017,-0.690,0.020
0.856,0.011,-0.684,0.020
0.856,0.004,-0.678,0.019
0.856,-0.003,-0.671,0.019
0.856,-0.010,-0.664,0.018
0.855,-0.018,-0.657,0.018
0.855,-0.025,-0.650,0.017
0.855,-0.033,-0.643,0.016
0.855,-0.040,-0.635,0.016
0.855,-0.048,-0.627,0.015
0.855,-0.056,-0.619,0.015
0.855,-0.064,-0.611,0.014
0.855,-0.072,-0.602,0.014
0.855,-0.080,-0.594,0.013
0.855,-0.088,-0.585,0.013
0.855,-0.097,-0.575,0.012
0.855,-0.105,-0.566,0.011
0.855,-0.114,-0.556,0.011
0.855,-0.123,-0.546,0.010
0.855,-0.132,-0.536,0.010
0.855,-0.141,-0.526,0.009
0.855,-0.150,-0.515,0.009
0.855,-0.160,-0.504,0.008
0.855,-0.169,-0.493,0.007
0.854,-0.179,-0.481,0.007
0.854,-0.189,-0.469,0.006
0.854,-0.201,-0.457,0.005
0.854,-0.213,-0.446,0.005
0.854,-0.222,-0.436,0.004
0.854,-0.229,-0.428,0.003
0.853,-0.234,-0.423,0.003
0.852,-0.237,-0.421,0.003
0.852,-0.239,-0.420,0.003
0.851,-0.240,-0.422,0.002
0.849,-0.240,-0.425,0.002
0.848,-0.238,-0.430,0.002
0.847,-0.236,-0.437,0.002
0.845,-0.233,-0.445,0.001
0.844,-0.229,-0.453,0.001
0.842,-0.225,-0.463,0.001
0.841,-0.220,-0.473,0.001
0.839,-0.215,-0.484,0.001
0.837,-0.210,-0.495,0.001
0.835,-0.204,-0.507,0.001
0.834,-0.199,-0.519,0.001
